4,101940.25,4.38,1.83,8.52,359,26,-13|54,101949.21,4.38,1.84,8.51,359,26,-13|104,101944.73,4.38,1.83,8.54,359,26,-13|154,101944.73,4.38,1.86,8.53,359,26,-13|
304,101945.87,4.38,1.81,8.50,359,26,-13|354,101946.92,4.37,1.82,8.54,359,26,-13|403,101939.15,4.37,1.85,8.53,359,26,-13|453,101943.59,4.38,1.83,8.52,359,26,-13|
553,101938.01,4.38,1.84,8.53,359,26,-13|603,101946.92,4.39,1.84,8.54,359,26,-13|653,101941.35,4.38,1.83,8.53,359,26,-13|703,101949.21,4.36,1.84,8.53,359,26,-13|
803,101944.73,4.37,1.83,8.52,359,26,-13|853,101940.20,4.39,1.84,8.54,359,26,-13|903,101943.59,4.38,1.85,8.49,359,26,-13|953,101944.73,4.36,1.83,8.52,359,26,-13|
1053,101943.59,4.37,1.84,8.52,359,26,-13|1103,101945.82,4.37,1.86,8.55,359,26,-13|1153,101942.49,4.38,1.82,8.52,359,26,-13|1203,101934.58,4.36,1.84,8.50,359,26,-13|
1303,101942.44,4.38,1.85,8.53,353|1352,101952.54,4.38,1.83,8.53,359,26,-13|1402,101949.16,4.38,1.84,8.52,359,26,-13|1452,101944.73,4.38,1.87,8.52,359,26,-13|
1552,101941.35,4.389,26,1.84,8.53,359,2,-16,-13|1602,101946.97,4.37,1.84,8.54,359,26,-13|1652,101939.11,4.38,1.84,8.52,359,26,-13|1702,101939.11,4.38,1.84,8.52,359,26,-13|
1802,101948.06,4.38,1.84,8.53,359,26,-13|1852,101939.14..81,37,41,8.52,359,26,-13|1902,101943.59,4.38,1.84,8.51,359,26,-13|1952,101946.92,4.38,1.84,8.53,359,26,-13|
2052,101941.35,4.38,1.84,8.52,359,26,-13|2102,101935.77,4.37,1.83,8.54,359,26,-13|2152,101940.25,4.38,1.84,8.53,359,26,-13|2202,101940.20,4.38,1.82,8.53,359,26,-13|
2302,101943.63,4.37,1.83,8.52,359,26,-13|2352,101949.16,4.35,1.84,8.52,359,26,-13|2402,101942.44,4.39,1.84,8.53,359,26,-13|2452,101939.11,4.37,1.84,8.52,359,26,-13|
2552,101945.82,4.38,1.83,8.53,359,26,-13|2602,101943.59,4.38,1.84,8.52,359,26,-13|2652,101946.97,4.38,1.85,8.53,359,26,-13|2702,101943.59,4.38,1.85,8.53,359,26,-13|
2802,101940.20,4.39,1.83,8.53,359,26,-13|2852,101946.97,4.38,1.84,8.51,359,26,-13|2902,101946.97,4.37,1.85,8.53,359,26,-13|2952,101946.97,4.35,1.85,8.52,359,26,-13|
3052,101943.59,4.38,1.84,8.52,359,26,-13|3102,101945.82,4.38,1.83,8.51,359,26,-13|3152,101946.92,4.37,1.85,8.50,359,26,-13|3202,101942.49,4.37,1.82,8.51,359,26,-13|
3302,101941.35,4.38,1.84,8.52,359,26,-13|3352,101945.82,4.38,1.82,8.53,359,26,-13|3402,101941.35,4.34,1.84,8.52,359,26,-13|3452,101936.87,4.38,1.84,8.52,359,26,-13|
3552,101940.20,4.37,1.84,8.51,359,26,-13|3602,101941.39,4.36,1.84,8.50,359,26,-13|3652,101935.73,4.38,1.83,8.51,359,26,-13|3702,101950.30,4.39,1.83,8.53,359,26,-13|
3802,101943.59,4.38,1.83,8.53,359,26,-13|3853,101941.35,4.37,1.85,8.54,359,26,-13|3903,101944.73,4.39,1.85,8.54,359,26,-13|3954,101948.06,4.37,1.84,8.52,359,26,-13|
4054,101941.35,4.38,1.82,8.52,359,26,-13|4105,101943.59,4.38,1.84,8.52,359,26,-13|4155,101950.30,4.37,1.82,8.53,359,26,-13|4205,101948.02,4.38,1.83,8.51,359,26,-13|
4353,101939.11,4.38,1.86,8.51,359,26,-13|4401,101950.30,4.38,1.83,8.51,359,26,-13|4451,101943.59,4.37,1.83,8.53,359,26,-13|4501,101944.68,4.35,1.85,8.53,359,26,-13|
4602,101943.59,4.38,1.83,8.52,359,26,-13|4653,101949.16,4.37,1.84,8.50,359,26,-13|4703,101946.92,4.39,1.84,8.53,359,26,-13|4753,101939.11,4.36,1.84,8.54,359,26,-13|
4854,101946.92,4.38,1.82,8.53,359,26,-13|4904,101945.82,4.38,1.84,8.53,359,26,-13|4954,101939.11,4.38,1.84,8.53,359,26,-13|5004,101951.40,4.37,1.84,8.53,359,26,-13|
5104,101942.49,4.38,1.84,8.50,359,26,-13|5154,101940.20,4.37,1.86,8.52,359,26,-13|5204,101943.59,4.38,1.84,8.51,359,26,-13|5254,101948.02,4.39,1.85,8.51,359,26,-13|
5387,101941.35,4.37,1.83,8.51,359,26,-13|5437,101943.59,4.36,1.84,8.53,359,26,-13|5487,101936.87,4.38,1.85,8.53,359,26,-13|5537,101942.44,4.37,1.83,8.53,359,26,-13|
5637,101941.35,4.36,1.84,8.53,359,26,-13|5686,101943.59,4.37,1.81,8.52,359,26,-13|5736,101939.11,4.38,1.84,8.53,359,26,-13|5786,101948.02,4.38,1.84,8.51,359,26,-13|
5886,101941.35,4.36,1.85,8.51,359,26,-13|5936,101948.06,4.38,1.83,8.50,359,26,-13|5986,101944.68,4.37,1.84,8.52,359,26,-13|6036,101951.40,4.38,1.84,8.53,359,26,-13|
6136,101946.92,4.37,1.85,8.52,359,26,-13|6186,101948.06,4.39,1.85,8.52,359,26,-13|6236,101942.44,4.38,1.83,8.55,359,26,-13|6286,101942.44,4.36,1.85,8.51,359,26,-13|
6386,101944.73,4.38,1.84,8.53,359,26,-13|6436,101943.59,4.37,1.84,8.55,359,26,-13|6486,101945.82,4.37,1.81,8.54,359,26,-13|6536,101943.54,4.39,1.83,8.52,359,26,-13|
6636,101942.44,4.36,1.85,8.53,359,26,-13|6686,101944.73,4.37,1.84,8.52,359,26,-13|6736,101940.20,4.39,1.85,8.53,359,26,-13|6786,101944.68,4.39,1.84,8.53,359,26,-13|
6886,101945.82,4.39,1.82,8.52,359,26,-13|6936,101944.64,4.39,1.83,8.53,359,26,-13|6986,101943.59,4.38,1.84,8.51,359,26,-13|7036,101940.25,4.38,1.84,8.51,359,26,-13|
7136,101941.35,4.37,1.85,8.52,359,26,-13|7186,101946.92,4.37,1.85,8.53,359,26,-13|7236,101950.26,4.37,1.83,8.52,359,26,-13|7286,101949.16,4.36,1.84,8.52,359,26,-13|
7386,101949.16,4.38,1.84,8.53,359,26,-13|7436,101941.30,4.38,1.84,8.51,359,26,-13|7486,101944.68,4.37,1.84,8.53,359,26,-13|7536,101944.68,4.38,1.84,8.53,359,26,-13|
7,359,26,-13|76636,101945.82,4.37,1.85,8.5386,101943.54,4.38,1.83,8.53,359,26,-13|7736,101939.06,4.38,1.83,8.53,359,26,-13|7786,101941.30,4.38,1.83,8.50,359,26,-13|
7886,101948.02,4.36,1.84,8.53,359,26,-13|7936,101946.92,4.38,1.85,8.51,359,26,-13|7987,101944.68,4.38,1.85,8.54,359,26,-13|8036,101941.35,4.37,1.82,8.54,359,26,-13|
8136,101948.06,4.39,1.83,8.51,359,26,-13|8188,101943.59,4.38,1.84,8.53,359,26,-13|8236,101941.35,4.38,1.84,8.54,359,26,-13|8289,101940.25,4.37,1.84,8.53,359,26,-13|
8430,101942.44,4.36,1.85,8.50,359,26,-13|8480,101948.02,4.39,1.84,8.53,359,26,-13|8530,101948.02,4.35,1.81,8.49,359,26,-13|8580,101943.54,4.36,1.86,8.52,359,26,-13|
8680,101941.35,4.38,1.85,8.51,359,26,-13|8730,101946.92,4.38,1.83,8.53,359,26,-13|8780,101940.20,4.38,1.84,8.54,359,26,-13|8830,101945.78,4.38,1.84,8.55,359,26,-13|
8930,101943.54,4.38,1.83,8.53,359,26,-13|8980,101942.44,4.38,1.84,8.53,359,26,-13|9030,101943.59,4.37,1.84,8.52,359,26,-13|9080,101944.68,4.38,1.86,8.53,359,26,-13|
9720,101943.54,4.38,1.85,8.53,359,26,-13|9769,101945.78,4.38,1.81,8.51,359,26,-13|9819,101950.30,4.36,1.84,8.53,359,26,-13|9869,101943.54,4.39,1.83,8.51,359,26,-13|
9969,101944.68,4.36,1.84,8.53,359,26,-13|10019,101942.44,4.37,1.84,8.53,359,26,-13|10069,101943.54,4.40,1.82,8.52,359,26,-13|10119,101941.35,4.37,1.84,8.52,359,26,-13|
10219,101942.44,4.38,1.84,8.51,359,26,-13|10269,101948.02,4.37,1.84,8.51,359,26,-13|10319,101946.97,4.36,1.84,8.54,359,26,-13|10369,101942.44,4.38,1.86,8.53,359,26,-13|
10469,101941.30,4.37,1.84,8.50,359,26,-13|10519,101946.92,4.37,1.85,8.51,359,26,-13|10569,101946.92,4.38,1.84,8.52,359,26,-13|10619,101943.63,4.40,1.85,8.53,359,26,-13|
10719,101939.06,4.39,1.84,8.55,359,26,-13|10769,101942.44,4.36,1.84,8.52,359,26,-13|10819,101944.64,4.37,1.85,8.53,359,26,-13|10869,101939.11,4.38,1.83,8.52,359,26,-13|
10968,101947.97,4.37,1.84,8.55,359,26,-13|11018,101937.96,4.39,1.84,8.56,359,26,-13|11068,101942.44,4.38,1.85,8.51,359,26,-13|11118,101949.16,4.39,1.86,8.53,359,26,-13|
11218,101944.68,4.37,1.86,8.51,359,26,-13|11268,101941.30,4.37,1.84,8.50,359,26,-13|11318,101942.44,4.37,1.85,8.53,359,26,-13|11368,101950.26,4.37,1.84,8.52,359,26,-13|
11468,101948.06,4.38,1.84,8.54,359,26,-13|11518,101950.26,4.38,1.84,8.53,359,26,-13|11568,101942.44,4.37,1.82,8.51,359,26,-13|11618,101945.78,4.36,1.85,8.52,359,26,-13|
11717,101946.92,4.35,1.84,8.50,359,26,-13|11767,101936.82,4.37,1.85,8.52,359,26,-13|11818,101940.16,4.37,1.85,8.51,359,26,-13|11867,101948.02,4.39,1.84,8.51,359,26,-13|
